id,app_names,smash_css_names,ultimate_sounds,smash4_sounds,brawl_sounds,melee_sounds,n64_sounds
71,Ridley,ridley,Super Smash Bros Ultimate/Announcer/vc_narration_characall_ridley.wav,,,,
72,Simon,simon,Super Smash Bros Ultimate/Announcer/vc_narration_characall_simon.wav,,,,
73,Richter,richter,Super Smash Bros Ultimate/Announcer/vc_narration_characall_richter.wav,,,,
74,King K Rool,king_k_rool,Super Smash Bros Ultimate/Announcer/vc_narration_characall_krool.wav,,,,
75,Isabelle,shizue,Super Smash Bros Ultimate/Announcer/vc_narration_characall_shizue.wav,,,,
76,Incineroar,gaogaen,Super Smash Bros Ultimate/Announcer/vc_narration_characall_gaogaen.wav,,,,
77,Piranha Plant,packun_flower,Super Smash Bros Ultimate/Announcer/vc_narration_characall_packun.wav,,,,
78,Joker,joker,Super Smash Bros Ultimate/Announcer/vc_narration_characall_jack.wav,,,,
79,Hero,dq_hero,Super Smash Bros Ultimate/Announcer/vc_narration_characall_brave.wav,,,,
80,Banjo & Kazooie,banjo_and_kazooie,Super Smash Bros Ultimate/Announcer/vc_narration_characall_buddy.wav,,,,
81,Terry,terry,Super Smash Bros Ultimate/Announcer/vc_narration_characall_dolly.wav,,,,
82,Byleth,byleth,Super Smash Bros Ultimate/Announcer/vc_narration_characall_master.wav,,,,
83,Mii Brawler,mii_fighter,Super Smash Bros Ultimate/Announcer/vc_narration_characall_miifighter.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_MiiFighter.wav,,,
84,Mii Swordfighter,mii_fighter,Super Smash Bros Ultimate/Announcer/vc_narration_characall_miisword.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_MiiSword.wav,,,
85,Mii Gunner,mii_fighter,Super Smash Bros Ultimate/Announcer/vc_narration_characall_miigunner.wav,SuperSmashBrosWiiU/Announcer/snd_se_narration_characall_MiiGunner.wav,,,
